"symbol","date","open","high","low","close","volume","adjusted"
"ACES",2019-01-02,22.84,22.92,22.698999,22.789,7700,22.464411
"ACES",2019-01-03,22.73,22.76,22.468,22.518,5700,22.197271
"ACES",2019-01-04,23.049999,23.290001,23.049999,23.218,25200,22.8873
"ACES",2019-01-07,23.690001,23.690001,23.573999,23.573999,2700,23.238228
"ACES",2019-01-08,23.563,23.818001,23.563,23.818001,2500,23.478756
"ACES",2019-01-09,24.049999,24.156,24.049999,24.135,6000,23.791241
"ACES",2019-01-10,24.389999,24.478001,24.32,24.478001,6000,24.129354
"ACES",2019-01-11,24.41,24.610001,24.41,24.469999,12200,24.121468
"ACES",2019-01-14,25.139999,25.139999,24.059999,24.188999,1800,23.844469
"ACES",2019-01-15,24.346001,24.346001,24.200001,24.24,7500,23.894743
"ACES",2019-01-16,24.604,24.604,24.370001,24.447001,14300,24.098797
"ACES",2019-01-17,24.52,24.790001,24.52,24.684,5100,24.33242
"ACES",2019-01-18,24.75,24.82,24.677,24.677,8900,24.32552
"ACES",2019-01-22,24.5,24.5,24.245001,24.245001,600,23.899673
"ACES",2019-01-23,24.639999,24.639999,24.139999,24.27,3700,23.924318
"ACES",2019-01-24,24.6,24.688,24.556999,24.688,700,24.336365
"ACES",2019-01-25,24.936001,25.040001,24.936001,25.025,6300,24.668564
"ACES",2019-01-28,26.27,26.27,24.809999,24.882999,3200,24.528587
"ACES",2019-01-29,24.93,24.93,24.896999,24.896999,1500,24.542385
"ACES",2019-01-30,25.049999,25.099001,24.978001,25.075001,8400,24.717852
"ACES",2019-01-31,25.099001,25.58,25.099001,25.549999,20500,25.186083
"ACES",2019-02-01,25.58,25.58,25.5,25.5,15800,25.136797
"ACES",2019-02-04,25.514999,25.65,25.49,25.65,4100,25.28466
"ACES",2019-02-05,26.42,26.42,25.719999,25.82,7400,25.45224
"ACES",2019-02-06,25.879999,25.940001,25.860001,25.893,900,25.5242
"ACES",2019-02-07,25.85,25.85,25.59,25.743999,10100,25.377321
"ACES",2019-02-08,25.67,25.705,25.587999,25.681999,4300,25.316206
"ACES",2019-02-11,25.795,25.950001,25.795,25.950001,17000,25.580389
"ACES",2019-02-12,26.190001,26.200001,26.128,26.128,5100,25.755854
"ACES",2019-02-13,26.120001,26.159,26.120001,26.120001,5900,25.747967
"ACES",2019-02-14,25.709999,26.407,25.709999,26.222,6200,25.848515
"ACES",2019-02-15,26.27,26.35,26.26,26.273001,3700,25.898787
"ACES",2019-02-19,26.290001,26.51,26.290001,26.42,13300,26.043695
"ACES",2019-02-20,26.530001,26.549999,26.372,26.372,3400,25.996378
"ACES",2019-02-21,26.34,26.58,26.34,26.447001,4200,26.070309
"ACES",2019-02-22,26.700001,27.051001,26.700001,27.051001,5800,26.665709
"ACES",2019-02-25,27.26,27.26,27.094,27.094,1100,26.708094
"ACES",2019-02-26,27.039,27.104,27.039,27.104,3500,26.717949
"ACES",2019-02-27,27.129999,27.34,27.129999,27.284,5800,26.895388
"ACES",2019-02-28,27.194,27.299999,27.194,27.238001,8100,26.850044
"ACES",2019-03-01,27.030001,27.030001,26.870001,26.997999,9300,26.613462
"ACES",2019-03-04,27.15,27.15,26.806,26.989,7400,26.604588
"ACES",2019-03-05,27.040001,27.040001,26.874001,26.874001,300,26.491226
"ACES",2019-03-06,27.690001,27.690001,26.58,26.638,2700,26.258589
"ACES",2019-03-07,26.41,26.709999,26.406,26.452999,6500,26.076223
"ACES",2019-03-08,26.16,26.448,26.16,26.448,3500,26.071297
"ACES",2019-03-11,26.49,26.969999,26.49,26.969999,10600,26.585859
"ACES",2019-03-12,27.195999,27.195999,27.125999,27.125999,400,26.739637
"ACES",2019-03-13,27.34,27.34,27.280001,27.330999,2200,26.941717
"ACES",2019-03-14,27.469999,27.469999,27.275,27.275,5200,26.886515
"ACES",2019-03-15,27.33,27.52,27.204,27.204,10400,26.816528
"ACES",2019-03-18,27.4,27.469999,27.266001,27.295,7900,26.906231
"ACES",2019-03-19,27.306,27.33,27.306,27.33,15200,26.940733
"ACES",2019-03-20,27.379999,27.540001,27.120001,27.346001,8400,26.956505
"ACES",2019-03-21,27.42,27.459999,27.42,27.434999,6200,27.163435
"ACES",2019-03-22,27.129999,27.129999,26.781,26.781,2200,26.515909
